Station,Route,Lanes,Count Date,Direction,TotalVehicles,Latitude,Longitude,Location 1
6282,NY328,4,01/01/2013,EAST,2121,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/01/2013,WEST,2076,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/02/2013,EAST,3823,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/02/2013,WEST,3745,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/03/2013,EAST,3979,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/03/2013,WEST,3906,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/04/2013,EAST,4165,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/04/2013,WEST,4179,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/07/2013,EAST,4036,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/07/2013,WEST,4064,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/08/2013,EAST,4165,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/08/2013,WEST,4095,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/09/2013,EAST,4016,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/09/2013,WEST,3974,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/10/2013,EAST,4209,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/10/2013,WEST,4122,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/11/2013,EAST,4368,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/11/2013,WEST,4473,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/14/2013,EAST,3915,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/14/2013,WEST,3925,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/15/2013,EAST,4086,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/15/2013,WEST,4047,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/16/2013,EAST,3509,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/16/2013,WEST,3650,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/17/2013,EAST,4131,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/17/2013,WEST,4117,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/18/2013,EAST,4421,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/18/2013,WEST,4469,42.05028,-76.8326,"[42.05028, -76.8326]"
6282,NY328,4,01/21/2013,EAST,3309,42.05028,-76.8326,"[42.05028, -76.8326]"
