date,value
1988-01-01,12681
1988-01-02,13264
1988-01-03,13953
1988-01-04,13921
1988-01-05,13932
1988-01-06,13157
1988-01-07,11159
1988-01-08,11631
1988-01-09,12045
1988-01-10,13160
1988-01-11,14240
1988-01-12,14302
1988-01-13,14353
1988-01-14,14451
1988-01-15,14496
1988-01-16,13041
1988-01-17,13337
1988-01-18,12396
1988-01-19,13721
1988-01-20,13745
1988-01-21,14170
1988-01-22,14570
1988-01-23,13059
1988-01-24,13858
1988-01-25,13947
1988-01-26,14188
1988-01-27,14493
1988-01-28,14445
1988-01-29,14589
1988-01-30,13125
1988-01-31,13766
1988-02-01,14083
1988-02-02,14175
1988-02-03,13931
1988-02-04,13677
1988-02-05,14039
1988-02-06,12703
1988-02-07,13584
1988-02-08,14281
1988-02-09,14432
1988-02-10,13875
1988-02-11,13188
1988-02-12,13403
1988-02-13,12862
1988-02-14,13446
1988-02-15,14315
1988-02-16,14471
1988-02-17,14646
1988-02-18,14412
1988-02-19,14319
1988-02-20,12963
1988-02-21,13789
1988-02-22,14512
1988-02-23,14521
1988-02-24,14634
1988-02-25,14692
1988-02-26,14705
1988-02-27,13105
1988-02-28,13824
1988-02-29,14669
1988-03-01,14520
1988-03-02,14451
1988-03-03,14357
1988-03-04,14361
1988-03-05,13054
1988-03-06,13889
1988-03-07,14587
1988-03-08,14638
1988-03-09,14489
1988-03-10,14425
1988-03-11,14460
1988-03-12,13075
1988-03-13,13670
1988-03-14,14634
1988-03-15,14582
1988-03-16,14571
1988-03-17,14493
1988-03-18,14529
1988-03-19,13229
1988-03-20,13813
1988-03-21,14628
1988-03-22,14680
1988-03-23,14561
1988-03-24,14307
1988-03-25,14435
1988-03-26,13150
1988-03-27,13874
1988-03-28,14657
1988-03-29,14571
1988-03-30,14734
1988-03-31,14533
1988-04-01,14570
1988-04-02,12883
1988-04-03,13893
1988-04-04,14680
1988-04-05,14779
1988-04-06,14430
1988-04-07,14650
1988-04-08,14626
1988-04-09,13326
1988-04-10,13935
1988-04-11,14609
1988-04-12,14760
1988-04-13,14596
1988-04-14,14495
1988-04-15,14528
1988-04-16,13098
1988-04-17,13629
1988-04-18,14317
1988-04-19,14278
1988-04-20,14343
1988-04-21,14315
1988-04-22,14328
1988-04-23,12743
1988-04-24,13694
1988-04-25,14461
1988-04-26,14408
1988-04-27,14443
1988-04-28,14519
1988-04-29,14510
1988-04-30,13065
1988-05-01,13620
1988-05-02,14265
1988-05-03,14400
1988-05-04,14452
1988-05-05,14352
1988-05-06,14425
1988-05-07,13111
1988-05-08,13550
1988-05-09,14227
1988-05-10,14451
1988-05-11,14463
1988-05-12,14498
1988-05-13,14550
1988-05-14,13103
1988-05-15,13703
1988-05-16,14257
1988-05-17,14322
1988-05-18,14367
1988-05-19,14316
1988-05-20,14345
1988-05-21,13115
1988-05-22,13694
1988-05-23,14312
1988-05-24,14237
1988-05-25,14430
1988-05-26,14543
1988-05-27,14607
1988-05-28,12474
1988-05-29,12229
1988-05-30,13811
1988-05-31,13060
1988-06-01,14430
1988-06-02,14441
1988-06-03,14610
1988-06-04,13296
1988-06-05,13885
1988-06-06,14572
1988-06-07,14678
1988-06-08,14520
1988-06-09,14463
1988-06-10,14559
1988-06-11,13414
1988-06-12,13969
1988-06-13,14687
1988-06-14,14624
1988-06-15,14586
1988-06-16,14534
1988-06-17,14561
1988-06-18,13391
1988-06-19,13971
1988-06-20,14616
1988-06-21,14650
1988-06-22,14529
1988-06-23,14592
1988-06-24,14738
1988-06-25,13462
1988-06-26,13932
1988-06-27,14716
1988-06-28,14579
1988-06-29,14567
1988-06-30,14524
1988-07-01,14579
1988-07-02,12791
1988-07-03,12110
1988-07-04,13479
1988-07-05,14584
1988-07-06,14627
1988-07-07,14620
1988-07-08,14585
1988-07-09,13460
1988-07-10,13897
1988-07-11,14646
1988-07-12,14559
1988-07-13,14710
1988-07-14,14572
1988-07-15,14639
1988-07-16,13355
1988-07-17,13775
1988-07-18,14491
1988-07-19,14640
1988-07-20,14431
1988-07-21,14444
1988-07-22,14487
1988-07-23,13432
1988-07-24,13977
1988-07-25,14604
1988-07-26,14092
1988-07-27,14424
1988-07-28,14519
1988-07-29,14545
1988-07-30,13355
1988-07-31,13939
1988-08-01,14535
1988-08-02,14459
1988-08-03,14532
1988-08-04,14448
1988-08-05,14325
1988-08-06,13338
1988-08-07,13981
1988-08-08,14466
1988-08-09,14520
1988-08-10,14475
1988-08-11,14494
1988-08-12,14571
1988-08-13,13385
1988-08-14,13985
1988-08-15,14616
1988-08-16,14715
1988-08-17,14509
1988-08-18,14282
1988-08-19,14498
