date,Google Chrome,Internet Explorer
2015 Jun 15,48.09,24.14
2015 Jun 16,48,24.19
2015 Jun 17,47.87,24.44
2015 Jun 18,48.22,23.83
2015 Jun 19,47.91,23.86
2015 Jun 20,48.78,21.14
2015 Jun 21,49.43,20.55
2015 Jun 22,48.98,23.47
2015 Jun 23,48.69,23.76
2015 Jun 24,49.17,23.35
2015 Jun 25,49.32,23.39
2015 Jun 26,49.39,23.11
2015 Jun 27,49.77,20.68
2015 Jun 28,50.07,20.41
2015 Jun 29,49.32,23.3
2015 Jun 30,49.99,22.94
2015 Jul 1,50.22,22.79
2015 Jul 2,50.33,22.59
2015 Jul 3,50.4,21.29
2015 Jul 4,50.83,20.02
2015 Jul 5,51.6,19.6
2015 Jul 6,50.53,22.64
2015 Jul 7,50.01,23.02
2015 Jul 8,49.52,23.17
2015 Jul 9,49.31,23.24
2015 Jul 10,48.4,23.68
2015 Jul 11,48.87,21.22
2015 Jul 12,49.4,20.87
2015 Jul 13,49.12,23.35
2015 Jul 14,49.36,23.2
2015 Jul 15,48.88,23.73
2015 Jul 16,48.76,23.77
2015 Jul 17,47.58,24.54
2015 Jul 18,48.06,21.89
2015 Jul 19,48.39,21.5
2015 Jul 20,48.32,23.91
2015 Jul 21,47.81,24.98
2015 Jul 22,48.28,24.4
2015 Jul 23,48.41,24.2
2015 Jul 24,48.22,23.96
2015 Jul 25,48.11,21.86
2015 Jul 26,48.27,21.57
2015 Jul 27,48.5,23.72
2015 Jul 28,48.48,23.95
2015 Jul 29,48.33,23.77
2015 Jul 30,47.8,24.06
2015 Jul 31,48.41,22.9
2015 Aug 1,48.8,20.29
2015 Aug 2,48.95,20.27
2015 Aug 3,49.07,22.67
2015 Aug 4,49.18,22.72
2015 Aug 5,49.56,22.37
2015 Aug 6,49.77,21.81
2015 Aug 7,48.73,22.63
2015 Aug 8,49.6,18.97
2015 Aug 9,49.68,18.85
2015 Aug 10,49.11,22.54
2015 Aug 11,49.21,22.59
2015 Aug 12,48.95,22.68
2015 Aug 13,49.31,22.28
2015 Aug 14,49.08,21.98
2015 Aug 15,49.1,19.47
2015 Aug 16,49.5,19.33
2015 Aug 17,49.42,22.12
2015 Aug 18,49.46,22.16
2015 Aug 19,49.51,22.21
2015 Aug 20,49.43,22.38
2015 Aug 21,49.44,21.79
2015 Aug 22,49.79,19.29
2015 Aug 23,50.12,18.91
2015 Aug 24,49.34,22.2
2015 Aug 25,49.21,22.51
2015 Aug 26,49.06,22.58
2015 Aug 27,48.89,22.63
2015 Aug 28,48.69,22.44
2015 Aug 29,48.64,19.87
2015 Aug 30,49.72,18.84
2015 Aug 31,49.43,21.94
2015 Sep 1,49.65,21.91
2015 Sep 2,49.73,21.85
2015 Sep 3,49.59,21.97
2015 Sep 4,49.52,21.64
2015 Sep 5,50.28,18.93
2015 Sep 6,50.25,18.67
2015 Sep 7,49.83,19.8
2015 Sep 8,50,21.8
2015 Sep 9,49.81,21.89
2015 Sep 10,49.65,21.93
2015 Sep 11,49.75,21.71
2015 Sep 12,49.86,19.04
2015 Sep 13,50.1,18.71
2015 Sep 14,49.91,21.55
2015 Sep 15,50.1,21.34
2015 Sep 16,50.6,21.53
2015 Sep 17,50.59,21.59
2015 Sep 18,50.57,21.75
2015 Sep 19,51.33,18.77
2015 Sep 20,51.41,18.15
2015 Sep 21,50.76,21.38
2015 Sep 22,50.6,21.48
2015 Sep 23,50.56,21.5
2015 Sep 24,50.66,21.34
2015 Sep 25,50.87,20.84
2015 Sep 26,51.66,17.77
2015 Sep 27,51.99,17.24
2015 Sep 28,50.77,21.23
2015 Sep 29,50.75,21.39
2015 Sep 30,50.8,21.34
2015 Oct 1,50.82,21.39
2015 Oct 2,50.93,21.17
2015 Oct 3,51.69,18.12
2015 Oct 4,52.06,17.59
2015 Oct 5,51.4,20.73
2015 Oct 6,51.81,20.35
2015 Oct 7,51.98,20.18
2015 Oct 8,50.97,20.56
2015 Oct 9,50.94,20.42
2015 Oct 10,51.02,17.74
2015 Oct 11,52.07,16.83
2015 Oct 12,50.9,19.94
2015 Oct 13,51.52,19.66
2015 Oct 14,51.75,19.37
2015 Oct 15,51.37,19.66
2015 Oct 16,51.29,19.56
2015 Oct 17,52.47,15.8
2015 Oct 18,51.88,16.03
2015 Oct 19,51.48,19.69
2015 Oct 20,51.58,19.73
2015 Oct 21,52.04,20.14
2015 Oct 22,51.62,20.1
2015 Oct 23,51.87,19.88
2015 Oct 24,52.62,16.25
2015 Oct 25,52.64,16.1
2015 Oct 26,52.29,19.72
2015 Oct 27,51.88,20.08
2015 Oct 28,51.92,19.48
2015 Oct 29,51.56,19.74
2015 Oct 30,51.8,19.42
2015 Oct 31,52.67,16.22
2015 Nov 1,52.4,15.92
2015 Nov 2,51.9,19.56
2015 Nov 3,51.95,19.83
2015 Nov 4,52.25,19.61
2015 Nov 5,51.98,19.9
2015 Nov 6,51.38,20.09
2015 Nov 7,52.45,16.46
2015 Nov 8,52.61,16.12
2015 Nov 9,51.65,20.18
2015 Nov 10,51.95,19.99
2015 Nov 11,52.74,18.91
2015 Nov 12,52.16,19.88
2015 Nov 13,52.17,19.7
2015 Nov 14,52.81,16.25
2015 Nov 15,52.89,15.65
2015 Nov 16,52.68,19.59
2015 Nov 17,52.6,19.62
2015 Nov 18,52.35,19.79
2015 Nov 19,52.37,19.81
2015 Nov 20,52.2,19.55
2015 Nov 21,52.7,16.03
2015 Nov 22,52.72,15.75
2015 Nov 23,52.35,19.53
2015 Nov 24,52.33,19.53
2015 Nov 25,52.34,19.04
2015 Nov 26,53.29,17.12
2015 Nov 27,52.46,17.83
2015 Nov 28,52.84,15.74
2015 Nov 29,52.8,15.57
2015 Nov 30,52.71,19.08
2015 Dec 1,52.41,19.62
2015 Dec 2,52.64,19.41
2015 Dec 3,52.37,19.3
2015 Dec 4,52.15,19.2
2015 Dec 5,52.15,15.77
2015 Dec 6,52.92,15.33
2015 Dec 7,52.59,19.15
2015 Dec 8,52.57,19.12
2015 Dec 9,52.47,19.47
2015 Dec 10,52.22,20
2015 Dec 11,51.97,19.54
2015 Dec 12,52.03,16.49
2015 Dec 13,52.17,16.22
2015 Dec 14,51.48,20.71
2015 Dec 15,51.64,20.54
2015 Dec 16,51.32,21.04
2015 Dec 17,51.03,21.29
2015 Dec 18,50.9,20.71
2015 Dec 19,51.36,17.02
2015 Dec 20,52.24,16.39
2015 Dec 21,51.44,20.62
2015 Dec 22,51.44,20.64
2015 Dec 23,50.69,21.15
2015 Dec 24,50.13,20.14
2015 Dec 25,50.55,17.4
2015 Dec 26,50.12,17.8
2015 Dec 27,50.68,17.25
2015 Dec 28,49.89,21.09
2015 Dec 29,50.27,20.86
2015 Dec 30,49.85,21.28
2015 Dec 31,49.4,20.41
2016 Jan 1,50.07,16.61
2016 Jan 2,50.72,16.66
2016 Jan 3,51.23,16.46
2016 Jan 4,51.26,20.36
2016 Jan 5,51.32,20.21
2016 Jan 6,51.81,19.86
2016 Jan 7,51.85,19.82
2016 Jan 8,50.99,20.36
2016 Jan 9,51.5,16.58
2016 Jan 10,51.88,15.91
2016 Jan 11,51.91,19.73
2016 Jan 12,51.99,19.63
2016 Jan 13,52.31,19.26
2016 Jan 14,52.07,19.64
2016 Jan 15,52.21,18.83
2016 Jan 16,52.65,15.51
2016 Jan 17,52.48,15.69
2016 Jan 18,52.07,18.91
2016 Jan 19,52.51,19.48
2016 Jan 20,52.82,19.01
2016 Jan 21,52.76,19.26
2016 Jan 22,52.56,18.8
2016 Jan 23,52.38,15.76
2016 Jan 24,53.12,15.22
2016 Jan 25,52.55,19.12
2016 Jan 26,52.45,19.49
2016 Jan 27,52.64,19.42
2016 Jan 28,51.95,19.87
2016 Jan 29,51.03,20
2016 Jan 30,50.97,16.86
2016 Jan 31,52.36,15.75
2016 Feb 1,52.62,19.09
2016 Feb 2,52.48,19.25
2016 Feb 3,52.47,19.16
2016 Feb 4,51.91,19.77
2016 Feb 5,51.76,19.36
2016 Feb 6,52.11,15.66
2016 Feb 7,52.41,15.14
2016 Feb 8,51.83,19.4
2016 Feb 9,52.01,19.2
2016 Feb 10,52.92,18.52
2016 Feb 11,52.71,18.9
2016 Feb 12,52.37,18.63
2016 Feb 13,52.73,14.69
2016 Feb 14,52.73,14.91
2016 Feb 15,52.68,17.65
2016 Feb 16,53.18,18.24
2016 Feb 17,52.8,18.68
2016 Feb 18,52.85,18.74
2016 Feb 19,52.5,18.49
2016 Feb 20,52.15,15.14
2016 Feb 21,52.1,14.95
2016 Feb 22,52.35,18.91
2016 Feb 23,52,19.19
2016 Feb 24,52.27,18.8
2016 Feb 25,52.2,18.84
2016 Feb 26,52.28,18.37
2016 Feb 27,52.63,14.89
2016 Feb 28,52.74,14.98
2016 Feb 29,53.2,18.53
2016 Mar 1,53.27,18.36
2016 Mar 2,53.37,18.14
2016 Mar 3,53.03,18.51
2016 Mar 4,52.47,18.63
2016 Mar 5,52.43,14.9
2016 Mar 6,52.86,14.56
2016 Mar 7,52.59,18.9
2016 Mar 8,52.75,18.59
2016 Mar 9,53.16,18.21
2016 Mar 10,52.99,18.49
2016 Mar 11,52.42,18.46
2016 Mar 12,51.86,15.55
2016 Mar 13,51.95,15.09
2016 Mar 14,51.94,19.4
2016 Mar 15,52.49,18.73
2016 Mar 16,52.41,18.66
2016 Mar 17,52.26,19.15
2016 Mar 18,51.98,18.86
2016 Mar 19,51.89,15.61
2016 Mar 20,51.86,15.29
2016 Mar 21,52.74,18.37
2016 Mar 22,52.93,18.46
2016 Mar 23,52.65,18.47
2016 Mar 24,52.53,18.25
2016 Mar 25,52.15,16.95
2016 Mar 26,52.24,15.04
2016 Mar 27,52.56,14.27
2016 Mar 28,53.31,17.05
2016 Mar 29,52.98,17.82
2016 Mar 30,53.07,17.84
2016 Mar 31,53.4,17.73
2016 Apr 1,52.72,18.26
2016 Apr 2,52.99,14.44
2016 Apr 3,53.29,14.13
2016 Apr 4,53.65,17.74
2016 Apr 5,53.21,18.25
2016 Apr 6,53.29,18.24
2016 Apr 7,52.77,18.33
2016 Apr 8,52.41,18.15
2016 Apr 9,52.03,15.11
2016 Apr 10,52.62,14.85
2016 Apr 11,52.54,18.79
2016 Apr 12,53.2,18.04
2016 Apr 13,53.01,17.89
2016 Apr 14,53.2,18.06
2016 Apr 15,52.96,17.82
2016 Apr 16,52.52,14.52
2016 Apr 17,52.71,14.25
2016 Apr 18,53.22,17.85
2016 Apr 19,53.51,17.76
2016 Apr 20,53.62,17.44
2016 Apr 21,53.4,17.94
2016 Apr 22,52.62,18.57
2016 Apr 23,52.42,14.46
2016 Apr 24,53.43,13.62
2016 Apr 25,53.48,17.72
2016 Apr 26,53.5,17.81
2016 Apr 27,53.68,17.4
2016 Apr 28,53.08,18.16
2016 Apr 29,53.09,17.74
2016 Apr 30,53.1,14.09
2016 May 1,52.76,13.89
2016 May 2,53.44,17.2
2016 May 3,52.97,17.96
2016 May 4,53.55,17.62
2016 May 5,53.76,17.45
2016 May 6,52.97,17.61
2016 May 7,51.82,14.56
2016 May 8,52.46,14.09
2016 May 9,53.05,18.2
2016 May 10,52.83,18.34
2016 May 11,53.18,17.93
2016 May 12,52.5,18.46
2016 May 13,51.81,18.58
2016 May 14,50.29,15.33
2016 May 15,51.36,14.55
2016 May 16,52.3,18.24
2016 May 17,52.05,18.88
