id,belowPoverty,percentBelowPoverty
4400105140,375,2.3
4400109280,1699,8.9
4400173760,1172,11.4
4400318640,2453,7.1
4400322240,513,3.9
4400374300,5598,6.9
4400377720,146,2.4
4400378440,4690,16.4
4400500000,0,-
4400536820,356,6.5
4400542400,352,10.1
4400545460,1448,9.2
4400549960,2876,13.3
4400557880,1168,6.8
4400570880,1092,6.9
4400711800,1829,11.6
4400714140,6196,32.7
4400719180,7915,10.3
4400720080,2396,7
4400722960,4988,10.8
4400727460,222,4.8
4400730340,374,3.8
4400737720,2307,8.1
4400741500,2027,9.5
4400751760,3193,10
4400752480,385,3.2
4400754640,14107,19.9
4400759000,46678,28.2
4400764220,698,6.7
4400766200,673,3.7
4400780780,10190,25.1
4400914500,623,8
4400925300,754,11.4
4400935380,406,5
4400948340,2544,16.3
4400950500,71,8
4400951580,2078,8
4400961160,321,4.2
4400967460,2668,10.5
4400977000,2580,11.5
