id,income
0900100000,0
0900104720,614
0900108070,31453
0900108980,602
0900118500,8986
0900118850,1025
0900123890,325
0900126620,2507
0900133620,3900
0900148620,703
0900150580,602
0900150860,463
0900152980,1235
0900156060,7430
0900163480,241
0900163970,694
0900168170,2037
0900168310,49
0900173070,11279
0900174190,4656
0900177200,738
0900183430,199
0900183500,1198
0900186370,617
0900302060,471
0900304300,690
0900305910,1347
0900308490,6144
0900310100,159
0900312270,300
0900322070,109
0900322630,7174
0900324800,573
0900325990,3347
0900327600,1557
0900331240,1289
0900332640,339
0900337070,37435
0900337140,118
0900344700,6932
0900345820,133
0900350440,16038
0900352140,1297
0900360120,1381
0900365370,1422
0900368940,822
0900370550,1677
0900371390,761
0900374540,792
0900382590,4725
0900384900,1338
0900387000,1653
0900387070,807
0900502760,93
0900504930,300
0900508210,40
0900510940,62
0900516050,57
0900517240,76
0900532290,302
0900537280,261
0900540290,212
0900543370,623
0900549460,85
0900551350,193
0900552630,1722
0900553470,73
0900554030,219
0900560750,760
0900565930,65
0900566420,119
0900567960,259
0900575730,470
0900576570,3466
0900579510,152
0900579720,121
0900580490,893
0900586440,1590
0900587910,493
0900700000,0
0900714300,201
0900715350,1287
0900718080,714
0900719130,216
0900720810,219
0900722280,363
0900722490,718
0900726270,312
0900735230,436
0900740710,154
0900747080,112
0900747360,4888
0900757320,511
0900761800,513
0900781680,549
0900900000,0
0900901220,3896
0900903250,311
0900904580,136
0900907310,1663
0900914160,639
0900919550,1593
0900922910,2630
0900934950,929
0900935650,4724
0900944560,429
0900946520,7445
0900946940,315
0900947535,3714
0900949950,3022
0900952070,31848
0900953890,492
0900954870,925
0900957600,480
0900958300,430
0900962290,365
0900967610,925
0900969640,1786
0900978740,1740
0900980070,27291
0900982870,7990
0900987560,726
0900987700,352
0901100000,0
0901106820,109
0901115910,723
0901123400,678
0901129910,118
0901133900,1230
0901134250,3303
0901142390,416
0901142600,586
0901143230,121
0901144210,48
0901148900,1469
0901152350,6571
0901155500,223
0901156270,6272
0901157040,170
0901162150,367
0901166210,162
0901171670,242
0901173770,1552
0901178600,125
0901180280,1160
0901301080,17
0901306260,156
0901316400,160
0901317800,393
0901325360,508
0901337910,187
0901344910,2186
0901369220,399
0901372090,1311
0901376290,371
0901377830,5
0901378250,2629
0901385950,901
0901501430,376
0901509190,860
0901512130,253
0901513810,136
0901521860,65
0901536000,55
0901540500,1873
0901559980,1067
0901561030,146
0901562710,901
0901567400,60
0901573420,300
0901575870,702
0901586790,5495
0901588190,229
