id,belowPoverty,percentBelowPoverty
0900100000,,
0900104720,614,3.2
0900108070,31453,22.1
0900108980,602,3.5
0900118500,8986,11.2
0900118850,1025,4.8
0900123890,325,4.3
0900126620,2507,4.4
0900133620,3900,6.3
0900148620,703,3.6
0900150580,602,3
0900150860,463,3.3
0900152980,1235,4.5
0900156060,7430,8.5
0900163480,241,2.6
0900163970,694,2.8
0900168170,2037,5
0900168310,49,1.4
0900173070,11279,8.9
0900174190,4656,9
0900177200,738,2
0900183430,199,1.9
0900183500,1198,4.4
0900186370,617,3.4
0900302060,471,2.6
0900304300,690,3.4
0900305910,1347,6.7
0900308490,6144,10.3
0900310100,159,1.7
0900312270,300,2.9
0900322070,109,2.1
0900322630,7174,14.3
0900324800,573,5.1
0900325990,3347,8.2
0900327600,1557,6.1
0900331240,1289,3.8
0900332640,339,3
0900337070,37435,31.9
0900337140,118,5.7
0900344700,6932,12.1
0900345820,133,2.1
0900350440,16038,22.9
0900352140,1297,4.3
0900360120,1381,7.8
0900365370,1422,7.3
0900368940,822,3.5
0900370550,1677,3.9
0900371390,761,3
0900374540,792,6
0900382590,4725,7.7
0900384900,1338,5.1
0900387000,1653,5.8
0900387070,807,6.5
0900502760,93,2.5
0900504930,300,8.6
0900508210,40,2.4
0900510940,62,5.2
0900516050,57,3.7
0900517240,76,5.7
0900532290,302,10.4
0900537280,261,4.7
0900540290,212,7.9
0900543370,623,7.6
0900549460,85,3.6
0900551350,193,2.8
0900552630,1722,6.3
0900553470,73,5.1
0900554030,219,7.1
0900560750,760,6.4
0900565930,65,2.9
0900566420,119,3.4
0900567960,259,9.7
0900575730,470,6.1
0900576570,3466,10
0900579510,152,10.2
0900579720,121,3.6
0900580490,893,4.1
0900586440,1590,14.6
0900587910,493,5.1
0900700000,,-
0900714300,201,4.8
0900715350,1287,9.9
0900718080,714,5.2
0900719130,216,4.8
0900720810,219,3
0900722280,363,4
0900722490,718,5.6
0900726270,312,4.8
0900735230,436,5.3
0900740710,154,2.4
0900747080,112,2.5
0900747360,4888,11.4
0900757320,511,5.1
0900761800,513,5.5
0900781680,549,8
0900900000,,-
0900901220,3896,20.7
0900903250,311,5.1
0900904580,136,2.5
0900907310,1663,6
0900914160,639,2.4
0900919550,1593,12.7
0900922910,2630,9.2
0900934950,929,4.2
0900935650,4724,8.4
0900944560,429,2.4
0900946520,7445,12.5
0900946940,315,4.2
0900947535,3714,7
0900949950,3022,9.6
0900952070,31848,26.1
0900953890,492,3.4
0900954870,925,3.9
0900957600,480,3.5
0900958300,430,3.3
0900962290,365,3.8
0900967610,925,5.7
0900969640,1786,9.2
0900978740,1740,4
0900980070,27291,25.4
0900982870,7990,15.4
0900987560,726,4.4
0900987700,352,4
0901100000,0,-
0901106820,109,4.2
0901115910,723,4.5
0901123400,678,3.9
0901129910,118,6.1
0901133900,1230,10.5
0901134250,3303,9
0901142390,416,5.7
0901142600,586,3.9
0901143230,121,2.8
0901144210,48,2
0901148900,1469,8.3
0901152350,6571,28.2
0901155500,223,4.2
0901156270,6272,15.8
0901157040,170,2.3
0901162150,367,7.8
0901166210,162,3.9
0901171670,242,8.2
0901173770,1552,8.5
0901178600,125,4.8
0901180280,1160,6.2
0901301080,17,0.5
0901306260,156,3.2
0901316400,160,2.9
0901317800,393,3.2
0901325360,508,3.2
0901337910,187,2
0901344910,2186,16.8
0901369220,399,4.3
0901372090,1311,11.2
0901376290,371,2.5
0901377830,5,0.6
0901378250,2629,9.2
0901385950,901,15.2
0901501430,376,8.9
0901509190,860,11.3
0901512130,253,5
0901513810,136,5.7
0901521860,65,3.8
0901536000,55,3.1
0901540500,1873,11.1
0901559980,1067,7.1
0901561030,146,3.6
0901562710,901,9.8
0901567400,60,3.6
0901573420,300,8.1
0901575870,702,7.6
0901586790,5495,25.4
0901588190,229,2.9
