noteID,noteName,chorusNumber,sectionNumber,measureNumber,chordName,chordType,downBeat,chordTone,noteDuration,startedBeat,triad,halfStepsMoved,directionMoved,diatonic,intervalFromChordRoot
424,C,8,0,86,Bb,7,0,0,0.5,1.5,0,0,0,1,2
425,Eb,8,0,86,Bb,7,1,1,0.5,2,0,3,1,1,5
426,F,8,0,86,Bb,7,0,1,1,2.5,0,2,1,1,7
427,Ab,8,0,86,Bb,7,0,1,1,3.5,0,3,1,0,10
428,Bb,8,0,86,Bb,7,0,0,1,4.5,0,2,1,1,0
429,Bb,8,0,87,F,7,0,0,0.5,1.5,0,0,9,1,5
430,Ab,8,0,87,F,7,1,0,0.5,2,0,2,0,0,3
431,Bb,8,0,87,F,7,0,0,2,2.5,0,2,1,1,5
432,Ab,8,0,87,F,7,0,0,0.5,4.5,0,2,0,0,3
433,Bb,8,0,88,F,7,1,0,0.5,1,0,2,1,1,5
434,Ab,8,0,88,F,7,0,0,0.25,1.5,0,2,0,0,3
435,F,8,0,88,F,7,0,1,0.25,1.8,0,3,0,1,0
436,Eb,8,0,88,F,7,1,1,0.5,2,0,2,0,1,10
437,Bb,8,0,88,F,7,0,0,1,2.5,0,7,1,1,5
438,Ab,8,0,88,F,7,0,0,0.25,3.5,0,2,0,0,3
439,F,8,0,88,F,7,0,1,0.25,3.7,0,3,0,1,0
440,Eb,8,0,88,F,7,1,1,0.5,4,0,2,0,1,10
441,Db,8,0,88,F,7,0,0,0.5,4.5,0,10,1,0,8
442,B,8,0,89,Bb,7,1,0,0.5,1,0,3,0,0,1
443,A,8,0,89,Bb,7,0,0,0.5,1.5,0,2,0,0,11
444,Gb,8,0,89,Bb,7,1,0,0.5,2,0,3,0,0,8
445,A,8,0,89,Bb,7,0,0,0.5,2.5,0,3,1,0,11
446,E,8,0,89,Bb,7,1,0,0.5,3,0,5,0,0,6
447,E,8,0,89,Bb,7,0,0,0.5,3.5,1,0,9,0,6
448,G,8,0,89,Bb,7,1,0,0.5,4,1,3,1,0,9
449,Db,8,0,89,Bb,7,0,0,0.5,4.5,1,5,0,0,3
450,F,8,0,90,Bb,7,1,1,0.5,1,0,4,1,1,7
451,C,8,0,90,Bb,7,0,0,0.5,1.5,0,5,0,1,2
452,Bb,8,0,90,Bb,7,1,1,0.5,2,0,2,0,1,0
453,Eb,8,0,90,Bb,7,0,0,0.5,2.5,0,5,1,1,5
454,C,8,0,90,Bb,7,1,1,0.5,3,0,3,0,1,2
455,Ab,8,0,90,Bb,7,0,1,0.5,3.5,0,4,0,1,10
456,Bb,8,0,90,Bb,7,1,1,0.5,4,0,2,1,1,0
457,F,8,0,90,Bb,7,0,1,1,4.5,0,5,0,1,7
458,Bb,8,0,91,F,7,0,1,0.5,1.5,0,5,1,1,5
460,Ab,8,0,91,F,7,0,0,1.5,2.5,0,2,0,0,3
462,C#,8,0,92,D,7,0,0,0.5,1.5,0,15,1,0,11
463,B,8,0,92,D,7,1,0,0.5,2,0,2,0,1,9
464,F#,8,0,92,D,7,0,1,0.5,2.5,0,7,1,1,4
465,E,8,0,92,D,7,1,0,0.5,3,0,2,0,1,2
466,C#,8,0,92,D,7,0,0,0.5,3.5,0,3,0,0,11
467,B,8,0,92,D,7,1,0,0.5,4,0,2,0,1,9
468,A,8,0,92,D,7,0,1,0.5,4.5,0,2,0,1,7
469,F#,8,0,93,G,minor,1,0,1,1,1,3,0,0,11
470,A#,8,0,93,G,minor,1,1,0.5,2,1,4,1,0,3
471,A#,8,0,93,G,minor,0,1,0.5,2.5,1,0,9,0,3
472,D#,8,0,93,G,minor,1,0,1,3,1,5,1,0,8
474,C,8,0,94,C,7,0,1,0.5,1.5,0,3,0,1,0
475,Bb,8,0,94,C,7,1,1,0.5,2,0,2,0,1,10
476,Ab,8,0,94,C,7,0,0,1.5,2.5,0,2,0,0,8
477,Bb,8,0,94,C,7,1,1,0.5,4,0,2,1,1,10
478,F,8,0,94,C,7,0,1,0.5,4.5,0,5,0,1,5
479,Ab,8,0,95,F,7,1,0,0.5,1,1,3,1,0,3
480,Eb,8,0,95,F,7,0,1,0.5,1.5,1,5,0,1,10
481,C,8,0,95,F,7,1,1,0.5,2,1,3,0,1,7
482,F,8,0,95,F,7,0,1,0.5,2.5,1,5,1,1,0
484,D,8,0,96,C,7,0,0,0.5,3.5,1,9,0,1,2
485,C,8,0,96,C,7,1,1,0.5,4,0,2,1,1,0
486,D,8,0,96,C,7,0,0,1,4.5,0,2,0,1,2
487,Eb,9,0,97,F,7,0,1,1,1.5,0,1,1,1,10
488,F,9,0,97,F,7,0,0,1,2.5,0,2,1,1,0
489,G,9,0,97,F,7,0,0,1,3.5,0,2,1,1,2
490,Ab,9,0,97,F,7,0,0,1,4.5,0,1,1,0,3
491,A,9,0,98,Bb,7,0,0,0.5,1.5,0,1,1,0,11
492,Ab,9,0,98,Bb,7,1,1,0.5,2,0,1,0,1,10
493,F#,9,0,98,Bb,7,0,0,1,2.5,0,2,0,0,8
494,E,9,0,98,Bb,7,0,0,1,3.5,0,2,0,0,6
495,D#,9,0,98,Bb,7,0,0,0.5,4.5,0,1,0,1,4
496,C,9,0,99,F,7,1,1,1,1,0,3,0,1,7
497,C,9,0,99,F,7,1,1,1,2,0,0,9,1,7
498,C,9,0,99,F,7,1,1,0.5,3,0,0,9,1,7
499,Db,9,0,99,F,7,0,0,0.5,3.5,0,1,1,0,8
500,C,9,0,99,F,7,1,1,0.5,4,0,1,0,1,7
501,Ab,9,0,99,F,7,0,0,1,4.5,0,4,0,0,3
502,A,9,0,100,F,7,0,1,0.5,1.5,1,1,1,1,4
503,E,9,0,100,F,7,1,0,0.5,2,1,5,0,0,11
504,Db,9,0,100,F,7,0,0,1,2.5,1,3,0,0,8
505,F,9,0,100,F,7,0,1,0.5,3.5,0,4,1,1,0
506,Eb,9,0,100,F,7,1,1,0.5,4,0,2,0,1,10
507,C#,9,0,100,F,7,0,0,0.5,4.5,0,2,0,0,8
508,D,9,0,101,Bb,7,1,1,0.5,1,1,1,1,1,4
509,F,9,0,101,Bb,7,0,1,0.5,1.5,1,3,1,1,7
510,G,9,0,101,Bb,7,1,0,1,2,1,2,1,1,9
511,Bb,9,0,101,Bb,7,1,1,0.5,3,0,3,1,1,0
512,Bb,9,0,101,Bb,7,0,1,0.5,3.5,0,0,9,1,0
513,Ab,9,0,101,Bb,7,1,1,0.5,4,0,2,0,1,10
514,Eb,9,0,101,Bb,7,0,0,0.5,4.5,0,5,0,1,5
515,F,9,0,102,Bb,7,1,1,0.5,1,0,2,1,1,7
516,C,9,0,102,Bb,7,0,0,0.5,1.5,0,5,0,1,2
517,Bb,9,0,102,Bb,7,1,1,0.5,2,0,2,0,1,0
518,Eb,9,0,102,Bb,7,0,0,1.5,2.5,0,5,1,1,5
519,Ab,9,0,102,Bb,7,1,1,0.5,4,0,7,0,1,10
520,F,9,0,102,Bb,7,0,1,0.5,4.5,0,3,0,1,7
521,Bb,9,0,103,F,7,1,0,0.5,1,0,5,1,1,5
522,Bb,9,0,103,F,7,0,0,0.5,1.5,0,0,9,1,5
523,Ab,9,0,103,F,7,1,0,1,2,0,2,0,1,3
525,D,9,0,105,G,minor,0,1,0.5,1.5,0,18,1,1,7
526,C,9,0,105,G,minor,1,0,0.5,2,0,2,0,1,5
527,D,9,0,105,G,minor,0,1,0.5,2.5,0,2,1,1,7
528,Eb,9,0,105,G,minor,1,0,0.5,3,0,1,1,0,8
529,F,9,0,105,G,minor,0,1,0.5,3.5,0,2,1,1,10
530,E,9,0,105,G,minor,1,0,0.5,4,0,1,0,0,9
531,E,9,0,105,G,minor,0,0,0.5,4.5,0,0,9,0,9
532,F,9,0,106,C,7,1,0,0.5,1,0,1,1,1,5
533,E,9,0,106,C,7,0,1,0.5,1.5,0,1,0,1,4
534,Eb,9,0,106,C,7,1,0,0.5,2,0,1,0,0,3
535,D,9,0,106,C,7,0,0,0.5,2.5,0,1,0,1,2
536,C,9,0,106,C,7,1,1,0.5,3,0,2,0,1,0
537,A,9,0,106,C,7,0,0,0.5,3.5,0,3,0,1,9
538,Bb,9,0,106,C,7,1,1,0.5,4,0,1,1,1,10
539,Bb,9,0,106,C,7,0,1,0.5,4.5,0,0,9,1,10
540,A,9,0,107,F,7,1,1,0.5,1,1,1,0,1,4
541,F,9,0,107,F,7,0,1,0.5,1.5,1,4,0,1,0
542,C,9,0,107,F,7,1,1,0.5,2,1,5,0,1,7
543,F,9,0,107,F,7,0,1,0.5,2.5,1,5,1,1,0
544,Eb,9,0,107,D,7,1,0,1,3,0,2,0,0,1
546,C,10,0,109,F,7,0,1,0.5,1.5,0,9,1,1,7
547,F,10,0,109,F,7,1,1,0.5,2,0,5,1,1,0
548,Bb,10,0,109,F,7,0,0,0.5,2.5,0,5,1,1,5
549,A,10,0,109,F,7,1,1,0.5,3,1,1,0,1,4
550,F,10,0,109,F,7,0,1,0.5,3.5,1,4,0,1,0
551,C,10,0,109,F,7,1,1,1,4,1,5,0,1,7
552,G,10,0,110,Bb,7,1,0,1,1,0,7,1,1,9
553,G,10,0,110,Bb,7,1,0,0.5,2,0,0,9,1,9
554,Bb,10,0,110,Bb,7,0,1,0.5,2.5,0,3,1,1,0
555,A,10,0,110,Bb,7,1,0,0.5,3,0,1,0,0,11
556,F,10,0,110,Bb,7,0,1,0.25,3.5,0,4,0,1,7
557,Eb,10,0,110,Bb,7,0,0,0.25,3.8,0,2,0,1,5
558,C,10,0,110,Bb,7,1,0,0.5,4,0,3,0,1,2
559,F,10,0,110,Bb,7,0,1,0.5,4.5,0,5,1,1,7
561,E,10,0,111,F,7,0,0,0.5,1.5,0,1,0,0,11
562,Eb,10,0,111,F,7,1,1,0.5,2,0,1,0,1,10
563,B,10,0,111,F,7,0,0,1.5,2.5,0,8,1,0,6
564,A,10,0,111,F,7,1,1,0.5,4,0,2,0,1,4
565,A,10,0,111,F,7,0,1,0.5,4.5,0,0,9,1,4
566,F#,10,0,112,F,7,1,0,0.5,1,0,3,0,0,1
567,E,10,0,112,F,7,0,0,0.5,1.5,0,2,0,0,11
568,C#,10,0,112,F,7,1,0,0.5,2,0,3,0,0,8
569,C#,10,0,112,F,7,0,0,0.5,2.5,0,0,9,0,8
570,B,10,0,112,F,7,1,0,0.5,3,0,2,0,0,6
